Class	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	30	30	30	30	30	30	30	30	30	30	30
Samples	X17763	X17770	X17784	X17786	X17802	X17826	X17861	X17884	X17947	X17980	X17993	X17766	X17832	X17844	X17874	X17900	X17935	X17938	X17954	X17973	X17994	X18004
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_Bacteroidales__ASV1403	0.000670374416525971	0.00136582167832168	0.0322364645111919	0.14449764490638	0.027212552096102	0.0972134484452867	0.304915071380184	0.365883128295255	0.107287601320925	0.0178597427808784	0.141329535066647	0.146604973446083	0.271904647137442	0.324566375694366	0.463789353176875	0.31286308763545	0.239610559330894	0.268539529817555	0.216526093832367	0.232602255046145	0.0904824274175944	0.364805142627561
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_Bacteroidales__ASV1360	0	0	0.00970920221924622	0.0498657012729184	0.00929149301299338	0.0312346458903629	0.0985523245603031	0.125878734622144	0.0377514259981987	0.00558116961902451	0.0475562830842492	0.0531990062225059	0.0979820775180211	0.103701394399728	0.161740125930166	0.108421573070743	0.0822660742289597	0.0900880457474812	0.0802319451765946	0.0816761515015879	0.0336989740231391	0.128503878604321
Bacteroidota__Bacteroidia__Bacteroidales__Rikenellaceae__Alistipes__uncultured_bacterium__ASV249	0.178592710298937	0.000327797202797203	0.0915439066386072	0.066954727704465	0.00147094876195146	0.0418333684284411	0.000652332087211782	0.0883952108963093	0.0945286700690483	0.0520747391409852	0.016964646357278	0.00164110044902332	0.0511163208518656	0.0934701281033896	0.00767029192902118	0.0260805076016645	0.00568478829064297	0.0865026776799492	0.0664997364259357	0.0627491101306563	0.0341628465400568	0.100781901906852
Verrucomicrobiota__Verrucomicrobiae__Verrucomicrobiales__Akkermansiaceae__Akkermansia__uncultured_bacterium__ASV171	0.0807925315324263	0.00529938811188811	0.112947197245074	0.014441979057184	0.0239029173817112	0.02551414332842	0.0686955867225331	0.0798275483304042	0.0273191233863705	0.00504731861198738	0.0205361508535471	0.0271693296560527	0.0692579040774742	0.0334996032195896	0.0373440183171151	0.0456717893782704	0.0602456874019864	0.069596986475447	0.0159198734844491	0.0345716904320396	0.0495524994542676	0.0612850387860432
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__unidentified__ASV1308	0.000124143410467772	0.000519012237762238	0.128945858044768	0.109657830199696	0.0423142927188036	0.0573805011581386	0.0563012770655092	0.00249890158172232	0.042629840888622	0.142611016743509	0.0423478390271902	0.012103115811547	0.00306741745360531	0.021057703208253	0.00219805380652547	0.0552923241728812	0.0311683220073183	0.0650131614777163	0.00985767000527148	0.0154528209391052	0.0551462562759223	0.000185431282257317
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_bacterium__ASV953	0.000521402323964644	0.134697333916084	0.0134159173522097	0.0601035462649383	0.00561412110811473	0.0435881238155401	0.0106631206563464	0.00593145869947276	0.0609801861302912	0.0705411307934967	0.0512978592231978	0.0729833838579536	0.0376854144300081	0.0317140913728602	0.0100973096737264	0.00976473981294549	0.0169890224777836	0.00331306163202324	0.047206114918292	0.0259607391776968	0.0530724732591137	0
Firmicutes__Bacilli__Erysipelotrichales__Erysipelotrichaceae__Ileibacterium__Ileibacterium_valens__ASV1343	0.0118929387228126	0.00868662587412587	0.0334560933613928	0.00136245085445132	0.0169159107624418	0.0487471046536113	0.0172366209197882	0.00208699472759227	0.0405283698589012	0.0314972094151905	0.022513233699696	0.0638205730175734	0.0994719659954865	0.0141707289422968	0.0396794504865484	0.0707222611346875	0.0187097055236104	0.0104611055641282	0.0244596731681603	0.00460387492806445	0.0251309757694826	0.00284327966127886
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_bacterium__ASV1278	0	0.0276988636363636	0.0128180600726994	0.000233563003620227	0.132606030889924	0.0115462904471117	0.0457636048874727	0.00101603690685413	0.0154983488441909	0.0018199466148993	0.011734943344884	0.0199439290679917	0.0226769790320107	0.0321108717832445	0.0111047510017172	0.0471756417123316	0.0211709357030842	0.0141826268494145	0.0105956773853453	0.0252999978685764	0.00706723422833442	0.04008406218129
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__NA__ASV557	0	0	0	0	0	0.0610303923633046	0.00572045061093409	0.0120551405975395	0.079142900030021	0.0168891045862655	0.0393928442356343	0	0.0320106921408383	0	0	0.0072102509167319	0.0317346227565778	0.0201052918217301	0.0281233526620981	0.0324189526184539	0.0395110237939315	0.0137219148870414
Bacteroidota__Bacteroidia__Bacteroidales__Rikenellaceae__Alistipes__uncultured_bacterium__ASV326	0.154409573939815	0.0853638548951049	0.000597857279510235	0	0.0016425594508458	0.0223906787393837	0.000451614521915849	0.000219683655536028	0	0.000145595729191944	8.50358213397394e-05	0.0532673854078818	0.000723034114064109	0.0290216528738238	0.0183400114481969	0.000288410036669276	0.0326276354765639	0.000226922029590633	0.000158144438587243	0	0.000927745033835407	0
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__NA__ASV182	0	0.000218531468531469	0	0	0	0.0541166561381343	0.0050932082193843	0.0126867311072056	0.0698363854698289	0.0134190730405241	0.0330576755458237	0	0.0302140619180123	0	0	0.00698364303077747	0.031102979613173	0.021171825360806	0.024301528729573	0.0313958693011062	0.0380375463872517	0.014649071298328
