Class	30	30	30	30	30	30	30	30	30	30	30	30	60	60	60	60	60	60	60	60	60	60	60	60
Samples	X17754	X17756	X17819	X17829	X17833	X17840	X17855	X17894	X17904	X17911	X17946	X17966	X17792	X17801	X17803	X17827	X17879	X17901	X17907	X17951	X17956	X18002	X18005	X18018
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_Bacteroidales__ASV1403	0.00194221898519058	0.2499567024593	0.249015981410348	0.308071351138267	0.21089917103705	0.261873875381847	0.208847427023774	0.145124862876686	0.0918451855123675	0.110624427014363	0.0408991879580115	0.0442379182156134	0.0647650933756549	0.0984787472035794	0.0684774116457558	0.293101149363983	0.251583962694511	0.0459389248223942	0.00230715988618011	0.280023109850574	0.272429301013797	0.354735611896868	0.29519537372318	0.0321075396184425
Bacteroidota__Bacteroidia__Bacteroidales__Rikenellaceae__Alistipes__uncultured_bacterium__ASV249	0.000315610585093469	0.046804641496363	0.00199174847062171	0.0804178574948261	0.0500338352224666	0.0823115872285224	0.100662052362323	0.0590436858746854	0.00265017667844523	0.0879851278394622	0.0564468211527035	0.0243396595578165	0.000391329869339305	0.0196196868008949	0.0173721218806011	0.125870023200619	0.0727102235288155	0.000318099883363376	0.000333256428003794	0.0958270962997978	0.119216403689306	0.0974312495527941	0.111279252013187	0.130512033597157
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_Bacteroidales__ASV1360	0	0.0841487703498441	0.0827761179873856	0.10099536808909	0.0738665200473693	0.0884629869858141	0.0718369803533812	0.0492783549504205	0.0324646643109541	0.0401599266578384	0.0151762725292137	0.0154177264723146	0.0200447855294911	0.0328635346756152	0.0241049680591939	0.0981359502920078	0.0840387247199554	0.0153483193722829	0	0.0924131411013945	0.0885484157837234	0.113554511412693	0.0960925255363995	0.0117374683680612
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__unidentified__ASV1308	0.25260985676135	0.0647731208867336	0.0219803670507896	0.000295653887848625	0.027575706310269	0.0121563376156003	0.0222475387988479	0.0136585575702824	0.000524514134275618	0.0667973922787002	0.0368637353931472	0.0719037370377617	0.0820923103680675	0.0261521252796421	0.000758306907486557	0.0217872476599376	0.0796289725784378	0.0317304633654968	0.000769053295393371	0.000210089550670974	0.0204029778692482	0.00107329405872111	0.00275630978760201	0.0943663741273174
Verrucomicrobiota__Verrucomicrobiae__Verrucomicrobiales__Akkermansiaceae__Akkermansia__uncultured_bacterium__ASV171	0.113668366108279	0.0569795635607897	0.0496040214350073	0.0396964620084754	0.0568008797157841	0.0145415742561828	0.0205709126864709	0.0135295003333979	0.0296764575971731	0.0148212284812061	0.0095068330362448	0.0174525533163764	0.0144574646172576	0.0147427293064877	0.00916861988142837	0.0183204885463612	0.0811242333620559	0.0506574064256176	0.017713860903894	0.00601381338795662	0.0206824707167721	0.0377322489088177	0.0545857428525104	0.0265080134245051
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_bacterium__ASV1278	0.00021849963583394	0.0548146865258053	0.09847299283919	9.85512959495417e-05	0.0199204872272035	0.0512825877725238	0.05732771591935	0.0221763352046633	0.0382343197879859	0.0253132321483142	0.00641216082392553	0.0136176873410292	0.0394808357066765	0.0886577181208054	0.0609632795624799	0.00224005973492626	0.0266359166708906	0.00681263916869897	0.000205080878771566	0	0.015905683868181	0.0263791828654566	0.0301032265038102	0.0929485453794935
Firmicutes__Clostridia__Lachnospirales__Lachnospiraceae__Lachnospiraceae_NK4A136_group__uncultured_bacterium__ASV506	0.00211216314639476	0.0226229650155871	0	0.0408396570414901	0.0150566739976315	0.0148763443110014	0.0265895705257728	0.0401583102105784	0.0380134717314488	0.0257461546297239	0.0323331352743117	0.0426922324398357	0.0490249364088962	0.0313870246085011	0.0823567259524794	0.0377876743379823	0.0112778143849156	0.0507104230728449	0.0631136404419493	0.0358990519709026	0.0300835937698503	0.00362534882056908	0.00102686050910663	0.0371327554335146
Bacteroidota__Bacteroidia__Bacteroidales__Rikenellaceae__Alistipes__uncultured_bacterium__ASV326	0.179582422918184	0.0371709386906824	0.000284535495803101	0.0709175125652902	0.000507528336998816	0.000167385027409298	0.000429904131378703	0.0018713299348261	0.139741607773852	0.00180808801059387	0.00029708853238265	0.00068479749559773	0.000478292062525817	0.000111856823266219	0.000344684957948435	0.0682151524040641	0.000253434031121699	0.0981868306648288	0.000743418185546925	0.000210089550670974	0.000228675966155957	0.000405466644405753	0	0.00023331359141406
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_bacterium__ASV953	0.00194221898519058	0.0208477658468999	0.00388865177597572	0.0568838080220755	0.0308746405007613	0.046030882537557	0.00593267701302609	0.00972231184530339	0.0101866166077739	0.00244473871854945	0.0591453753218459	0.089884562707885	0.00443507185251212	0.00615212527964206	0.000321705960751873	0.0354942798474626	0.0464798013077196	0.00373767362951967	0.00192263323848343	0.0873447306914572	0.0465482633330793	0.00565268204259785	0.00197265308328379	0.000843518368958524
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__NA__ASV557	0	0	0	0	0.0362459820673321	0	0.0518249430377026	0.0535802628465725	0.0204836572438163	0.0857441173474585	0.072687660922955	0.0800039131285463	0.0206970019783899	0.0419686800894855	0.0295280113975826	0	0	0	0	0	0.00975684122265417	0.0282157082548239	0.0272928714262552	0.00023331359141406
