Class	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	30	30	30	30	30	30	30	30	30	30	30	30
Samples	X17763	X17770	X17784	X17786	X17802	X17826	X17861	X17884	X17947	X17980	X17993	X17754	X17756	X17819	X17829	X17833	X17840	X17855	X17894	X17904	X17911	X17946	X17966
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_Bacteroidales__ASV1403	0.000670374416525971	0.00136582167832168	0.0322364645111919	0.14449764490638	0.027212552096102	0.0972134484452867	0.304915071380184	0.365883128295255	0.107287601320925	0.0178597427808784	0.141329535066647	0.00194221898519058	0.2499567024593	0.249015981410348	0.308071351138267	0.21089917103705	0.261873875381847	0.208847427023774	0.145124862876686	0.0918451855123675	0.110624427014363	0.0408991879580115	0.0442379182156134
Bacteroidota__Bacteroidia__Bacteroidales__Rikenellaceae__Alistipes__uncultured_bacterium__ASV249	0.178592710298937	0.000327797202797203	0.0915439066386072	0.066954727704465	0.00147094876195146	0.0418333684284411	0.000652332087211782	0.0883952108963093	0.0945286700690483	0.0520747391409852	0.016964646357278	0.000315610585093469	0.046804641496363	0.00199174847062171	0.0804178574948261	0.0500338352224666	0.0823115872285224	0.100662052362323	0.0590436858746854	0.00265017667844523	0.0879851278394622	0.0564468211527035	0.0243396595578165
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__unidentified__ASV1308	0.000124143410467772	0.000519012237762238	0.128945858044768	0.109657830199696	0.0423142927188036	0.0573805011581386	0.0563012770655092	0.00249890158172232	0.042629840888622	0.142611016743509	0.0423478390271902	0.25260985676135	0.0647731208867336	0.0219803670507896	0.000295653887848625	0.027575706310269	0.0121563376156003	0.0222475387988479	0.0136585575702824	0.000524514134275618	0.0667973922787002	0.0368637353931472	0.0719037370377617
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_Bacteroidales__ASV1360	0	0	0.00970920221924622	0.0498657012729184	0.00929149301299338	0.0312346458903629	0.0985523245603031	0.125878734622144	0.0377514259981987	0.00558116961902451	0.0475562830842492	0	0.0841487703498441	0.0827761179873856	0.10099536808909	0.0738665200473693	0.0884629869858141	0.0718369803533812	0.0492783549504205	0.0324646643109541	0.0401599266578384	0.0151762725292137	0.0154177264723146
Verrucomicrobiota__Verrucomicrobiae__Verrucomicrobiales__Akkermansiaceae__Akkermansia__uncultured_bacterium__ASV171	0.0807925315324263	0.00529938811188811	0.112947197245074	0.014441979057184	0.0239029173817112	0.02551414332842	0.0686955867225331	0.0798275483304042	0.0273191233863705	0.00504731861198738	0.0205361508535471	0.113668366108279	0.0569795635607897	0.0496040214350073	0.0396964620084754	0.0568008797157841	0.0145415742561828	0.0205709126864709	0.0135295003333979	0.0296764575971731	0.0148212284812061	0.0095068330362448	0.0174525533163764
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_bacterium__ASV953	0.000521402323964644	0.134697333916084	0.0134159173522097	0.0601035462649383	0.00561412110811473	0.0435881238155401	0.0106631206563464	0.00593145869947276	0.0609801861302912	0.0705411307934967	0.0512978592231978	0.00194221898519058	0.0208477658468999	0.00388865177597572	0.0568838080220755	0.0308746405007613	0.046030882537557	0.00593267701302609	0.00972231184530339	0.0101866166077739	0.00244473871854945	0.0591453753218459	0.089884562707885
Bacteroidota__Bacteroidia__Bacteroidales__Rikenellaceae__Alistipes__uncultured_bacterium__ASV326	0.154409573939815	0.0853638548951049	0.000597857279510235	0	0.0016425594508458	0.0223906787393837	0.000451614521915849	0.000219683655536028	0	0.000145595729191944	8.50358213397394e-05	0.179582422918184	0.0371709386906824	0.000284535495803101	0.0709175125652902	0.000507528336998816	0.000167385027409298	0.000429904131378703	0.0018713299348261	0.139741607773852	0.00180808801059387	0.00029708853238265	0.00068479749559773
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__uncultured_bacterium__ASV1278	0	0.0276988636363636	0.0128180600726994	0.000233563003620227	0.132606030889924	0.0115462904471117	0.0457636048874727	0.00101603690685413	0.0154983488441909	0.0018199466148993	0.011734943344884	0.00021849963583394	0.0548146865258053	0.09847299283919	9.85512959495417e-05	0.0199204872272035	0.0512825877725238	0.05732771591935	0.0221763352046633	0.0382343197879859	0.0253132321483142	0.00641216082392553	0.0136176873410292
Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__Muribaculaceae__NA__ASV557	0	0	0	0	0	0.0610303923633046	0.00572045061093409	0.0120551405975395	0.079142900030021	0.0168891045862655	0.0393928442356343	0	0	0	0	0.0362459820673321	0	0.0518249430377026	0.0535802628465725	0.0204836572438163	0.0857441173474585	0.072687660922955	0.0800039131285463
Firmicutes__Clostridia__Lachnospirales__Lachnospiraceae__Lachnospiraceae_NK4A136_group__uncultured_bacterium__ASV506	0.0333697487337372	0.0581293706293706	0.0142050889611632	0.0231227373584024	0.0190487864672714	0.0259001895135818	0.0152545349624909	0.00639828646748682	0.0250675472830982	0.00783790342149964	0.0119262739428984	0.00211216314639476	0.0226229650155871	0	0.0408396570414901	0.0150566739976315	0.0148763443110014	0.0265895705257728	0.0401583102105784	0.0380134717314488	0.0257461546297239	0.0323331352743117	0.0426922324398357
